class
USD
USD
USD
USD
USD
USD
USD
GBP
USD
CAD
USD
USD
GBP
USD
AUD
AUD
AUD
AUD
NZD
NZD
NZD
NZD
USD
USD
USD
USD
USD
USD
USD
CAD
